case_id,example_id,word_index,input_context,gold_label,predicted_label,error_type,cause,suggested_fix
11,test_000001,84,"… trắng đục đục như nước vo **gạo**[gold=COMMA',' pred=PERIOD'.'] sau mỗi lần đi là tôi …",COMMA,PERIOD,Dấu phẩy / câu liệt kê,cắt câu quá mạnh — đáng lẽ chỉ là dấu phẩy,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
12,test_000002,56,"… niệu để có chuẩn đoán chính **xác**[gold=COMMA',' pred=PERIOD'.'] lúc đó bạn phải điều trị …",COMMA,PERIOD,Dấu phẩy / câu liệt kê,cắt câu quá mạnh — đáng lẽ chỉ là dấu phẩy,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
13,test_000002,109,"… trái và được kê thuốc nhỏ **mắt**[gold=COMMA',' pred=PERIOD'.'] sau khi nhỏ thuốc cho mắt …",COMMA,PERIOD,Dấu phẩy / câu liệt kê,cắt câu quá mạnh — đáng lẽ chỉ là dấu phẩy,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
14,test_000002,123,"… 3 ngày thì mắt phải bị **lây**[gold=COMMA',' pred=PERIOD'.'] vậy có dùng thuốc đó để …",COMMA,PERIOD,Dấu phẩy / câu liệt kê,cắt câu quá mạnh — đáng lẽ chỉ là dấu phẩy,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
15,test_000003,42,"… dẫn của bác sĩ. chào bác **sĩ**[gold=COMMA',' pred=PERIOD'.'] cho tôi hỏi sau khi phẫu …",COMMA,PERIOD,Dấu phẩy / câu liệt kê,cắt câu quá mạnh — đáng lẽ chỉ là dấu phẩy,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
16,test_000001,68,… địa phương để chứng minh sự **việc**[gold=O'' pred=PERIOD'.'] tôi thỉnh thoảng hay đi tiểu …,O,PERIOD,Cắt câu quá sớm,chấm câu quá sớm — một câu bị chẻ đôi,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
17,test_000003,99,… để xác định thời điểm thích **hợp**[gold=O'' pred=PERIOD'.'] có thể tập vật lý trị …,O,PERIOD,Cắt câu quá sớm,chấm câu quá sớm — một câu bị chẻ đôi,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
18,test_000006,32,… thuốc mát gan nhưng mãi ko **hết**[gold=O'' pred=PERIOD'.'] vậy xin hỏi bs là tôi …,O,PERIOD,Cắt câu quá sớm,chấm câu quá sớm — một câu bị chẻ đôi,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
19,test_000011,13,… thuật và truyền hóa chất 6 **năm**[gold=O'' pred=PERIOD'.'] về nguyên tắc nếu trong quá …,O,PERIOD,Cắt câu quá sớm,chấm câu quá sớm — một câu bị chẻ đôi,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
20,test_000013,143,… chậm rụng sau 3 tuần. thân **ái**[gold=O'' pred=PERIOD'.'] chào em.,O,PERIOD,Cắt câu quá sớm,chấm câu quá sớm — một câu bị chẻ đôi,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
21,test_000002,65,"… bạn phải điều trị tích cực **ngay**[gold=PERIOD'.' pred=COMMA','] nếu để tình trạng này kéo …",PERIOD,COMMA,Dấu phẩy / câu liệt kê,kết thúc câu quá yếu — hai câu bị nối thành câu ghép,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
22,test_000004,21,"… đi lại, sinh hoạt nhẹ nhàng **được**[gold=PERIOD'.' pred=COMMA','] với các hoạt động nặng hơn …",PERIOD,COMMA,Dấu phẩy / câu liệt kê,kết thúc câu quá yếu — hai câu bị nối thành câu ghép,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
23,test_000004,65,"… mình là ai, hỏi cũng không **nói**[gold=PERIOD'.' pred=COMMA','] mặt ngơ ngác, khóc, đi qua …",PERIOD,COMMA,Dấu phẩy / câu liệt kê,kết thúc câu quá yếu — hai câu bị nối thành câu ghép,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
24,test_000012,110,"… sát trùng lại bằng cồn 90 **độ**[gold=PERIOD'.' pred=COMMA','] nhẹ nhàng tháo băng rốn và …",PERIOD,COMMA,Dấu phẩy / câu liệt kê,kết thúc câu quá yếu — hai câu bị nối thành câu ghép,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
25,test_000012,118,"… nhàng tháo băng rốn và gạc **rốn**[gold=PERIOD'.' pred=COMMA','] quan sát mặt cắt rốn và …",PERIOD,COMMA,Dấu phẩy / câu liệt kê,kết thúc câu quá yếu — hai câu bị nối thành câu ghép,"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
26,test_000001,17,… đó chích 2 mũi vaccine covid **rồi**[gold=PERIOD'.' pred=O''] nhunge k có giấy tờ chứng …,PERIOD,O,Câu quá dài hoặc run-on,bỏ sót dấu chấm — hai câu bị nhập làm một (run-on),"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
27,test_000004,42,… bạn nhé. thân mến. bác sĩ **ơi**[gold=PERIOD'.' pred=O''] cháu nhà em thường có biểu …,PERIOD,O,Câu quá dài hoặc run-on,bỏ sót dấu chấm — hai câu bị nhập làm một (run-on),"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
28,test_000004,73,"… ngơ ngác, khóc, đi qua đi **lại**[gold=PERIOD'.' pred=O''] nhưng sau khi đi tiểu xong …",PERIOD,O,Câu quá dài hoặc run-on,bỏ sót dấu chấm — hai câu bị nhập làm một (run-on),"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
29,test_000014,38,"… phẩm dễ tiêu sau mổ ruột **thừa**[gold=PERIOD'.' pred=O''] chào bạn, sau phẫu thuật ổ …",PERIOD,O,Câu quá dài hoặc run-on,bỏ sót dấu chấm — hai câu bị nhập làm một (run-on),"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
30,test_000019,119,… viện thuộc hệ thống y tế **vinmec**[gold=PERIOD'.' pred=O''] để được các bác sĩ chuyên …,PERIOD,O,Câu quá dài hoặc run-on,bỏ sót dấu chấm — hai câu bị nhập làm một (run-on),"Add more diverse punctuation contexts, inspect ambiguous comma labels, and consider domain-specific validation examples."
